url,status,merchant,title,currency,price,selected_option,lists,note,date_saved,last_updated,purchased_on,purchased_price,image_url
https://www.aym-studio.com/products/gala-top,unpurchased,AYM,Gala Top in Organic Bamboo,EUR,€156.95,L / Natural,"All items,Tops",,2024-12-24 11:00:05.117038 +1100 AEDT,2025-10-13 10:41:52.094364 +1100 AEDT,,,https://cdn.shopify.com/s/files/1/0239/6539/files/IMG_9329.jpg?v=1720725708
https://www.varnail.com/products/solid-gel-polish-37-ruby-red,unpurchased,VARNAIL,Solid Gel Polish - #37 RUBY RED,USD,$8.69,Default Single Variant,"All items,Nails",,2025-02-08 02:08:03.334347 +1100 AEDT,2025-10-13 10:41:48.508838 +1100 AEDT,,,https://cdn.shopify.com/s/files/1/0585/7584/7524/products/37.jpg?v=1658315661
https://longdan.co.uk/products/double-happiness-lava-egg-custard-mooncakes-6x60g,unpurchased,Longdan Official,DOUBLE HAPPINESS Lava Egg Custard Mooncakes 6x60g,GBP,£19.50,Default Single Variant,"All items,Food",,2025-04-23 06:03:37.132747 +1000 AEST,2025-10-13 10:41:48.510416 +1100 AEDT,,,https://cdn.shopify.com/s/files/1/0268/0622/2893/products/1180003.png?v=1629887062
https://abulfit.myshopify.com/products/balance-v3-seamless-strappy-sports-bra-coffee-bean,unpurchased,AYBL,Balance V3 Seamless Strappy Sports Bra - Coffee Bean,EUR,€32.95,XS,"All items,Gym",,2025-01-03 21:01:08.747161 +1100 AEDT,2025-10-13 10:41:47.207018 +1100 AEDT,,,https://cdn.shopify.com/s/files/1/3000/0340/files/AYBL_1902_2090.jpg?v=1712141305
https://www.varnail.com/products/solid-gel-polish-01-black,unpurchased,VARNAIL,Solid Gel Polish - #01 BLACK,USD,$8.69,Default Single Variant,"All items,Nails",,2025-02-08 02:03:36.642991 +1100 AEDT,2025-10-13 10:41:41.71659 +1100 AEDT,,,https://cdn.shopify.com/s/files/1/0585/7584/7524/products/1_5c282909-039c-4cac-bb16-6c962cdb1038.jpg?v=1658314000
https://www.mytheresa.com/gb/en/women/saint-laurent-jill-95-leather-ankle-boots-burgundy-p00998153,unpurchased,Mytheresa,Jill 95 leather ankle boots,GBP,"£1,290.00",EU 37 / UK 4,"All items,Shoes",,2025-01-06 07:02:03.737044 +1100 AEDT,2025-10-13 10:34:51.297502 +1100 AEDT,,,https://www.mytheresa.com/media/1094/1238/100/91/P00998153.jpg
https://www.varnail.com/products/cat-eye-nail-magnets-tool,unpurchased,VARNAIL,Cat Eye Nail Magnets Tool,USD,$14.99,7 Pcs/Set,"All items,Nails",,2025-02-08 01:09:29.980269 +1100 AEDT,2025-10-13 10:34:36.448279 +1100 AEDT,,,https://cdn.shopify.com/s/files/1/0585/7584/7524/files/1_5eb90306-5287-40a2-ba78-11cb522d0d16.jpg?v=1685793706
https://longdan.co.uk/products/hk-hhyy-white-lotus-paste-mooncake-with-double-yolk-single-180g,unpurchased,Longdan Official,HK HHYY White Lotus Paste Mooncake With Double Yolk (Single) 180g,GBP,£5.50,Default Single Variant,"All items,Food",,2025-04-23 06:03:13.234934 +1000 AEST,2025-10-13 10:34:36.152798 +1100 AEDT,,,https://cdn.shopify.com/s/files/1/0268/0622/2893/files/4504887_1.png?v=1720602089
https://www.varnail.com/products/solid-gel-polish-30-daffodils,unpurchased,VARNAIL,Solid Gel Polish - #30 DAFFODILS,USD,$8.69,Default Single Variant,"All items,Nails",,2025-02-08 02:07:16.853717 +1100 AEDT,2025-10-13 10:34:34.116887 +1100 AEDT,,,https://cdn.shopify.com/s/files/1/0585/7584/7524/products/30.jpg?v=1658315420
https://abulfit.myshopify.com/products/balance-v3-seamless-sports-bra-black,unpurchased,AYBL,Balance V3 Seamless Sports Bra - Black,EUR,€32.95,XS,"All items,Gym",,2025-01-03 21:03:51.574668 +1100 AEDT,2025-10-13 10:34:32.994604 +1100 AEDT,,,https://cdn.shopify.com/s/files/1/3000/0340/files/UntitledSession2769.jpg?v=1712227797
